questionType,asin,answerTime,unixTime,question,answerType,answer
yes/no,B000K9Q5UK,13-Sep-14,1410591600,"I'm 5'3 with short legs, will this be a problem?",N,No its adjustable enjoy!
yes/no,B000K9Q5UK,3-Jul-14,1404370800,Do you have to use two feet to gas/brake because there's a post going down the middle?,Y,Yes you do have to use both feet with this game seat because of the post that holds the base where you attach the wheel. I wouldn't let that bother you that much unless you are trying to get serious for real life racing there they use the toe/heel for gas and brake. I can tell you that I really like the seat even though I don't use it that often. I recently built a platform to mount it on and put small caster wheels on the bottom of it so I can easily move it around the room. I also ended up making a stop at the top of the pedals as they didn't want to stay in place as good as I would have liked. If I needed to buy another one this would be my choice. Good luck and I hope you enjoy it.
open-ended,B000K9Q5UK,31-Oct-13,1383202800,hello everyone. i have this playseat more than 3 years. My question is if i can use a new Thrustmaster Ferrari F1 Wheel Integral 500 on it.,,Should work as long as the Thrustmaster wheel has a table (flat surface) type clamp as do most wheels
open-ended,B000K9Q5UK,31-Jul-10,1280559600,Flight Sim Seat Possibility? Is it possible to get a pair of the Playseats Gearshift Holder Mounts to put on both sides of the playseat and have a flight sim cockpit?,,"This is exactly what I did, but you'll need to modify them slightly. I got two gear shift holders, the base on the gear shift holders is too small for a flight stick / throttle to sit on so what I did was cut some particle board, drilled holes in it so I can mount it on top of the gear shift holders, laid some black leather (from hobby lobby) across the wood (to make it match seat) and then put some plexiglass pieces on top of it so my throttle/stick suction cups have something to stick onto. Overall it works GREAT. Used it to for Ace Combat 6, Hawxx, and many other PC flight sims."
open-ended,B000K9Q5UK,27-Jul-10,1280214000,Steering Wheel Bar: Can you right foot brake and do heel and toe like reality or does the steering wheel bar enable you from doing so.,,"You can, no problems right foot braking."
open-ended,B000K9Q5NW,15-Feb-09,1234684800,Playseat sale anytime soon? Is there any chance the Playseat classic or evolution is going to go on sale anytime soon?,,"It would be nice if there were another sale here soon. After all, Race Pro is coming out for the 360 next week, and it caters to a simulator crowd (who tend to spend money on things like this). I'm in this category, and frankly, the first company to put the Evolution on a good sale will get my money. I'd like it to be Amazon, but if it is someone else, so be it."
open-ended,B000K9Q5NW,30-Apr-08,1209538800,On Sale: Does anyone think they when this playseat will go on sale again?,,"There's a $50 off code good until mid-May, UKM8Y7AH"
open-ended,B000K9Q5NW,6-Feb-09,1233907200,What is with the fluctuating price? Why the volatile price?,,"It seems strange to me too, every time I look at this chair it is a different price. I found plans to build one with a more solid frame, that you can use a regular car seat from a junk yard, for $80 in parts if you have a welder. I may try that before buying this chair with its high markup in price."
yes/no,B000K9Q5NW,9-Aug-14,1407567600,does it come with g 27 gear shift holder,?,It has the plate you see in the picture of it and you screw the steering wheel down onto it as tight as you can get. The wheel I have has the shifter as part of the overall assembly. The wheel pedal kit I bought is a M/N E-X5C 19 model number that has the shifter and wheel as one plastic assembly. I went to Logitech and the picture they show for the G27 is a totally separate shifter and there is no way to mount it on what I have. There may be an adapter you can buy but I don't know. Good luck and enjoy. I really like the seat. It is so comfortable when you get tired yo can just nap right in it. :-)
open-ended,B000K9Q5NW,20-Jul-11,1311145200,Playseat boxed weight and size: Could anyone tell me what the weight and size of the boxed seat is as it arrives from Amazon?,,"Hey Ritchie, did you ever find out? I was planning to do the same thing (check it on a flight). Thanks Raph"
yes/no,B000K9Q5NW,13-Sep-14,1410591600,"I'm 5'3 with short legs, will this be a problem?",N,No its adjustable enjoy!
yes/no,B000K9Q5NW,3-Jul-14,1404370800,Do you have to use two feet to gas/brake because there's a post going down the middle?,Y,Yes you do have to use both feet with this game seat because of the post that holds the base where you attach the wheel. I wouldn't let that bother you that much unless you are trying to get serious for real life racing there they use the toe/heel for gas and brake. I can tell you that I really like the seat even though I don't use it that often. I recently built a platform to mount it on and put small caster wheels on the bottom of it so I can easily move it around the room. I also ended up making a stop at the top of the pedals as they didn't want to stay in place as good as I would have liked. If I needed to buy another one this would be my choice. Good luck and I hope you enjoy it.
open-ended,B000K9Q5NW,31-Oct-13,1383202800,hello everyone. i have this playseat more than 3 years. My question is if i can use a new Thrustmaster Ferrari F1 Wheel Integral 500 on it.,,Should work as long as the Thrustmaster wheel has a table (flat surface) type clamp as do most wheels
open-ended,B000K9Q5NW,31-Jul-10,1280559600,Flight Sim Seat Possibility? Is it possible to get a pair of the Playseats Gearshift Holder Mounts to put on both sides of the playseat and have a flight sim cockpit?,,"This is exactly what I did, but you'll need to modify them slightly. I got two gear shift holders, the base on the gear shift holders is too small for a flight stick / throttle to sit on so what I did was cut some particle board, drilled holes in it so I can mount it on top of the gear shift holders, laid some black leather (from hobby lobby) across the wood (to make it match seat) and then put some plexiglass pieces on top of it so my throttle/stick suction cups have something to stick onto. Overall it works GREAT. Used it to for Ace Combat 6, Hawxx, and many other PC flight sims."
open-ended,B000K9Q5NW,27-Jul-10,1280214000,Steering Wheel Bar: Can you right foot brake and do heel and toe like reality or does the steering wheel bar enable you from doing so.,,"You can, no problems right foot braking."
open-ended,B000KA5T6A,16-Apr-11,1302937200,"Xbox 360 Controller: Windows vs. Xbox: Here's the question: if it's wireless, will it work on an Xbox 360 without the receiver (just like a regular Xbox 360 wireless controller) or does it need the receiver as well just to connect to an Xbox 360???",,It's the exact same controller included with and sold for the xbox 360. The included receiver is only needed for Windows.
open-ended,B000KA5T6A,5-Oct-09,1254726000,Does this product include wireless receiver? I think yes. but then why amazon suggests to buy this controller with wireless receiver altogether in 'Frequently Bought Together' section?,,Yes it does. You do not have to purchase a separate receiver.
yes/no,B000KA5T6A,30-Nov-14,1417334400,Does it bring the receiver to use with de pc?,N,No
open-ended,B000KA5T6A,16-Apr-11,1302937200,Will this receiver work with all of the controllers or just the one it comes with? Will this receiver work with all of the XBOX 360 controllers or just the one it comes with?,,It will work with any xbox 360 wireless controller and up to 4 controllers can be connected at a time.
open-ended,B000KA5T6A,20-Jan-10,1263974400,Does it support or work on windows7?? I have a doubt that whether or not it can work on windows 7???,,"yeah, i installed the disc and it works fine"
open-ended,B000KA5T6A,31-Dec-09,1262246400,Does this work on a mac? Just wondering if this works with the mac or if there are existing drivers to have it work on both the pc bootcamp partition as well as mac games?,,One of the reviews claimed that there were unofficial Mac drivers that worked well. But I don't know from personal experience. Your best bet would probably be to Google it.
open-ended,B000KA5T6A,25-Nov-08,1227600000,"Xbox 360 wireless controllers - difference in models? Anyone know what the difference in products is, since there's an $8 difference in price?",,The 49.99 version comes with a usb reciever you can plug into your computer. The cheaper one cannot be used on your pc unless you buy the reciever sepratley.
yes/no,B000KMCF0G,5-Feb-15,1423123200,Can this game be played with Window 8?,?,"I played on windows 8 and it seemed to handle it alright, but I think I had to change some computer settings."
open-ended,B000KMCF0G,10-Jul-14,1404975600,"Just to clarify, this IS just a cd-rom game, right? You just pop it in the drive and play?",,"Yes, its a Cd-Rom game.. and it's a really fun/spooky point and click :-)"
yes/no,B000LM7E2E,17-Jun-13,1371452400,Are all the games multi hands???,N,"No. You have a choice of single play, or 3,4,5,10,15,25,50 and 100 play."
yes/no,B000LM7E2E,4-Sep-13,1378278000,can we change the pay table,?,Cannot answer your question. Did not care for this and threw it away shortly after getting it. Bought WinPoker through Amazon instead which we are very happy with.
yes/no,B000LM7E2E,13-Jul-13,1373698800,Can the cd be installed on a pc and a laptop at the same time/,?,"I don't know. It stopped working on my PC, so I uninstalled it. When I tried to remove the disk from its holder in the case, it was so hard to remove that I cracked it in the center about half inch. I tried to reload it into my PC several times, but nothing ever happened. However, I would think that the disk could be downloaded to as many computers as you wished. Francine"
yes/no,B000LM7E2E,13-Jul-13,1373698800,Will this cd run on Windows 8?,?,Right now I have windows 7 so I dont know. you can go to the website and ask the source. He answered my emails and even updated my software when improvements were made.
open-ended,B000LQ4HTS,27-Oct-14,1414393200,"Is there preset button mapping for Elite Dangerous available? Has anyone used this particular HOTAS in Elite Dangerous, and how well does it function?",,"Elite Dangerous is the main reason I bought the x52 pro, Elite does have a config for the x52 pro however it is missing the one or two different buttons. They are easy enough to config and If you want to use the ""clutch button"" ""I"" you will need to disable clutch mode in the x52 control panel. The x52 pro it self is amazing for Elite Dangerous, I have had mine for a few months now and haven't had any problems. The HOTAS used in the cockpits are almost exactly the same as this one so if you are using an oculus rift it is quiet immersive. http://youtu.be/JOoiEhOBcT8 for a review on this product that I did awhile back."
open-ended,B000LQ4HTS,20-May-14,1400569200,"Is the base heavy enough to play with it resting on a desk, or does it need to be bolted down?",,"The answer is that it needs to be secured some way--especially the throttle. I went to Walmart and bought the sticky-back strip Velcro they have, stuck 2 strips of the pile side on my bench, and two matching strips of the hook part onto the throttle base and it works well. I don't secure the stick because it's heavier--occasionally if I get ""ham-fisted"" it lifts up slightly, but I just sit it back down and it's OK. Now if you have a very smooth desktop for the throttle, maybe the suction cups supplied with the throttle will hold it down, but my surface is unfinished wood, so the suction cups are not effective."
yes/no,B000LQ4HTS,19-Jun-13,1371625200,Is this available for windows 7 ???,Y,"Yes, works with xp, vista, 7 and 8 - may have to download the proper version from their website, http://saitek.com/"
yes/no,B000LQ4HTS,30-Oct-13,1383116400,"Does the throttle work on it's own, since I'll be using a different stick? Thanks in advance.",Y,"Yes! Actually the main piece is the throttle part. The stick is cabled to the throttle using a Saitek proprietary cable so you will be ok if using a different stick and have this one as a backup. Another tip: don't use the throttle in a raw wood, if you do this the throttle will hot hold the position when you will use it. Nothing that can avoid the use but using it in a glass or solid table is the must considering you can use the 'suckers' (haha I don't know the name in english)."
open-ended,B000LQ4HTS,18-Mar-14,1395126000,Can I twist the stick to control yaw in a helicopter or use it as rudder in a plane?,,"Yeah, the sick has twist for yaw/rudder control. Even has a twist lock if you plan to use it with rudder pedals. I would recommend that you mag mod the stick though as the stock sensitivity isn't all that great. It's a simple mod, and makes a world of difference (YouTube for tutorials) if you sent scared to fiddle with the stick innards."
open-ended,B000LQ4HTS,8-Nov-14,1415433600,what are the box dimmensions?,,"Was like 22 x 12 x 9 something like that. Not massive. But not,tiny by any,means"
open-ended,B000LQ4HTS,14-Jan-15,1421222400,contents of box,,"stick, throttle, cable between the two, USB cable to computer, CD, and a quick start pamphlet--make sure you read ALL the reviews--this system can be tricky to get working, depending upon your system"
yes/no,B000LQ4HTS,17-Nov-14,1416211200,Does this still require the magnet mod to fine tune the stick?,N,No
open-ended,B000LQ4HTS,14-Dec-14,1418544000,How easy are the Profiles on the X52 Pro to program in the software?,,"It's pretty intuitive, and there are tutorials on line. Be sure to use the software from the website though, and not the CD version that comes with the stick."
yes/no,B000LQ4HTS,20-Sep-14,1411196400,Can the buttons be reprogrammed like the X55?,Y,"Yes, any button can be programed"
open-ended,B000M6DHA2,6-Jan-15,1420531200,good for project m ?,,"Perfect For Project M , I Got This Very SD Card Just For It And Works Fine"
yes/no,B000M6DHA2,14-Dec-14,1418544000,Do I have to have this to download games?,?,No but it can be used to store more games than on the Wii hard drive.
yes/no,B000M6DHA2,15-Jul-14,1405407600,Is this a SDHC memory card?,N,No. Definitely not. Regular SD. Not SDHC
open-ended,B000M6DHA2,27-Dec-13,1388131200,What is bulk packaging?,,"Mine came in that hard-to-open, melted-together, too-big-for-the-product plastic packaging."
open-ended,B000M6DHA2,9-Feb-09,1234166400,"What does ""Bulk Packaging"" means? Why is it cheaper?",,Nothing at all. You are not paying for all the non-recyclable plastic waste for individual unit packaging.
open-ended,B000MF67VO,30-Mar-09,1238396400,Mac OS X? Anyone know if this thing works at all on a Mac?,,This mouse DOES entirely work on OS X. They sell a white lit version labeled as the OS X version but all Death Adder mice are the exact same no matter what color they are. The only difference is you'll have to download the OSX driver from the website because there are only PC drivers on the disk.
open-ended,B000MF67VO,18-Jan-14,1390032000,is this grey or black? because i see a lot of mixed in the customer pictures..,,black. It's probably the flash on cameras that make it look grey. It's the color of the mouse itself you need to watch out for. Or you'll end up with non matching glows.
open-ended,B000MF67VO,25-Dec-07,1198569600,notebook: Is it compatable with laptops?,,"Yes it is, because I am using it for my laptop."
open-ended,B000MF67VO,12-Apr-08,1207983600,Anyone compared it to a copperhead? Is this a better mouse than the copperhaad?,,"I haven't got to compare them, but the Copperhead in terms of performance is definitely better, but a lot of (right handed people) people might prefer the Death Adder because of the right-handed design. I own a Copperhead, it is the mouse to slay all other mice in terms of sheer performance, so slacking a little on performance really isn't that big of a deal. If I wasn't a lefty I'd probably prefer the Death Adder."
yes/no,B000ND3XXA,8-Dec-14,1418025600,Will this work with Windows 8.1 ?,Y,Yes! I use it on 8.1! Works fine download joytokey if you don't know what to do!
open-ended,B000ND3XXA,6-Jun-14,1402038000,"I know this is meant for a computer, but would it also work with the Wii U possibly?",,No it wouldn't. You would have to get an official Gamecube to Wii U adapter
yes/no,B000ND3XXA,8-Mar-15,1425801600,does this work with Mac OS X too?,Y,Yes just plug and play
yes/no,B000ND3XXA,8-Oct-14,1412751600,I have a macbook and heard this would work on a mac...it has a mini disk. does not work. is there a driver i can install/donwload?,Y,"yes. my computer actually auto-downloaded the drivers(windows, sorry). google 3 in 1 magic joy box drivers and you should get there."
yes/no,B000ND3XXA,9 days ago,,Has anyone experience input delays with this adapter?,?,None at all
yes/no,B000ND3XXA,28 days ago,,"Will this work with the GameCube Logitech force feedback wheel? I don't care about the force feedback functionality, just working with wheel and pedal",N,"i have NO IDEA, i would like to ask what makes everyone think i have all the answers, i as ONE question in the past and i get asked questions, in what world does that make ANY sense..."
yes/no,B000ND3XXA,21-Dec-14,1419148800,does it support multiplayer?,N,"I'm going to assume you mean can multiple people use this at once. No, you cannot."
open-ended,B000ND3XXA,23-Oct-14,1414047600,"Is it compatible with other emulators? For example, If I wanted to play a SNES emulator with a PS2 controller, would it work?",,"Yes, it does work, it doesn't care what controller you're using, you just set up the controls through your emulator and play. No special configuring."
open-ended,B000ND3XXA,28-Aug-14,1409209200,Does this controller allow 2 players to use gamecube or ps2 controller at the same time?,,It does allow for multiple controllers at the same time. Its worked for me with GCB and a ps1 ckbtroller . but I assume ps2 and Xbox would work too
yes/no,B000ND3XXA,5-Jun-14,1401951600,does it work with mac?,Y,"Yes. I bought it to use with a Mac and a GameCube controller and it worked as soon as I plugged it in. I was using it to play Dusy: An Elusian Tail, which is designed for an Xbox controller so the button mapping was off but I think that's a consequence of the game."
yes/no,B000NGWYBO,15-Jun-13,1371279600,will this work on win 7 64 machine?,?,I was not able to get it working on Windows 7. I had to install a virtual machine running Windows 95 in order to play.
yes/no,B000NGWYBO,3-Apr-14,1396508400,will this run on win XP?,Y,"Although Timelapse was originally designed for Windows 3.1 or Windows 95; with regard to WindowsXP, it runs best (without lockups or crashes) when the ""Compatibility Mode"" is set to WindowsNT 4.0 with Service Pack 5."
yes/no,B000NGWYBO,25-Jul-13,1374735600,will it run on win7?,?,I don't think so. And I haven't found a patch for it yet.
yes/no,B000NGWYBO,15-Jun-13,1371279600,will this work on win 7 64 machine?,?,I was not able to get it working on Windows 7. I had to install a virtual machine running Windows 95 in order to play.
yes/no,B000NGWYBO,3-Apr-14,1396508400,will this run on win XP?,Y,"Although Timelapse was originally designed for Windows 3.1 or Windows 95; with regard to WindowsXP, it runs best (without lockups or crashes) when the ""Compatibility Mode"" is set to WindowsNT 4.0 with Service Pack 5."
yes/no,B000NGWYBO,25-Jul-13,1374735600,will it run on win7?,?,I don't think so. And I haven't found a patch for it yet.
yes/no,B000NJBD90,28-Apr-14,1398668400,Would it work for a Guitar Hero 2 controller for the PS3 Guitar Hero and Rock Band games?,?,"Yes and No. PS2 controllers and peripherals will only work on PS2 software/games. That is if the PS2 software is compatible with the PS3. I have not found any PS2 accessories that will work for PS3 software/games. There is backwards compatibility. PS3 controllers will work for PS2 games. With the exception of the PS3 Move Controllers, most PS3 controllers will operate most PS2 software."
yes/no,B000NJBD90,21-Jul-14,1405926000,I am trying to get this joystick at http://amzn.to/UkGz6n to work with my orginal XBox (XBox before XBox 360 and One). Will this adapter work?,?,I highly doubt it. The connector is PS specific.
yes/no,B000NJBD90,2-Jul-14,1404284400,Does it work for xbox 360 slim?,N,No this will not work on X-box
yes/no,B000NJBD90,27-Jun-14,1403852400,does this adapter work with the newer ps3 slims?,Y,Yes it does it works on every ps3
yes/no,B000NJBD90,18-Jun-14,1403074800,Does this work for dance pads as well? I have a Red Octane Afterburner I would love to use on my PS3.,?,I don't know with dance pads. I only used a wireless EA Sports PS2 controller with this and it worked flawlessly. I don't have a dance pad to try for you. Sorry.
yes/no,B000NJBD90,23-Apr-14,1398236400,"I know it says PS2 to PS3, but it's a USB, do you think it'll work if i plugged it into my Xbox 360?",?,Didn't work for my PS2 to PS3 so I doubt it.
yes/no,B000NJBD90,28-Jun-14,1403938800,will this work with my ps2 dance mats on a newer ps3 slim,?,is 2014 if you are still looking to use ps2 gear for ps3 .........it does work i dont know about guitar hero but fifa 2012 worked fine...
yes/no,B000NJBD90,17-Aug-14,1408258800,Can this be used to connect a PS2 controller to a PC?,Y,"Definitely! In fact, that's why I bought it, so I could game on my PC with a PS2 emulator."
open-ended,B000NJBD90,14-Apr-15,1428994800,If using this for a PC will it recognize the analog sticks?,,"Yes, but please note that controller may not be compatible with all PS3 games."
open-ended,B000NJBD90,13-Apr-15,1428908400,Will this work with a PS2 Hori fight stick? Since there is no analog button on the stick how would it register when asked for the PS button?,,I didn't see if the analog button was mapped as ps3 button. However it might be since ps3 uses analog all the time. I was using my PS3 Blu Ray remote to go to PS3 menu
open-ended,B000O5DY0E,6-Jun-14,1402038000,"This game does come with the manual and code, correct? I just want to be sure because most games sold forget to include the manuals.",,Yes. It came with everything.
yes/no,B000O5DY0E,23-Apr-14,1398236400,Does this game work on Macs?,?,Not if you buy the PC version. It needs to be the MAC version to run on a MAC. You can tell which version it is by looking on the upper left hand side of the cover.
open-ended,B000O5DY0E,4-Jul-14,1404457200,how do u get these games to work on windows 7 ...,,"you must first turn off any virus protection, then you download using the autorun that should work"
yes/no,B000O5DY0E,13-Aug-14,1407913200,Does this game (UK version) work on the American (USA) windows 7 laptop?,Y,Yes. I have Windows 7 (American) and this deluxe is compatible. Hope I helped!
open-ended,B000O5DY0E,23 days ago,,I have the sims 2 expansion packs but I need the double deluxe or will the sims 2 work with it by its self and the expansion packs?,,"Well, the Sims 2 is the same thing as Double Deluxe, just without the expansion packs. So, no, you don't need the double deluxe if you have the Sims 2 base game."
yes/no,B000O5DY0E,2-Jan-15,1420185600,Will this game work with the new Windows 8 computer?,?,It didn't work on my windows 8. So I don't think so.
yes/no,B000O5DY0E,27-Dec-14,1419667200,does this work on windows 8.1,Y,"It worked on my windows 8 laptop, so it may work on windows 8.1"
yes/no,B000O5DY0E,27-Nov-14,1417075200,Will it work with windows 8?,Y,Yes
yes/no,B000O5DY0E,22-Nov-14,1416643200,Here is a strange question. Can Sims in sims 2 be polygamist? I discovered in Sims 1 they can. In fact my Sim has three wives under one roof .,Y,Yes
yes/no,B000O5DY0E,12-Nov-14,1415779200,Did you have any problems with the downloads?My old CD would stop downloading and will tell me to retry again because a specific file will this happen,Y,"I never downloaded anything, but I guess you could retry it. If that doesn't work, re-install the game, or call customer support."
open-ended,B000OFSBL6,13-Jul-14,1405234800,I can not tell from you image does this take the Wii to HDMI??,,"No just component, red, green, blue, then white and another red for audio. NO HDMI"
open-ended,B000OFSBL6,5-Jun-14,1401951600,Does anyone know if this will connect a GameCube to an HDTV?,,"No, this is not compatible with the Gamecube. However, you can play Gamecube games in progressive scan using this cable on a Wii."
open-ended,B000OFSBL6,3-Jan-15,1420272000,"I have a Wii that I need to connect to my Vizio E550i-B2. If I buy this cable, where do I insert the video portion? I also have HD cables connected.",,I looked up your television model you only have one slot for component cables just plug in the matching colors red to red white to white green to green blue to blue etc. Cables work great. Make sure to change wii settings to 480p under settings
open-ended,B000OFSBL6,11-Mar-15,1426057200,Can this be used on the wii or the wii u?,,Not sure about the wii u. I used it on my wii
yes/no,B000OFSBL6,9-Mar-15,1425884400,"Do these actually support 1080i? From what I know the wii only supports 480p, unless they are talking about the wii u.",N,No.
yes/no,B000OFSBL6,18-Feb-15,1424246400,"Can use this from my laptop, to my tvs rca connection,because all the hdmi ports on my tv are being used...Thanks before hand.",?,"I'm not sure. My son ordered it, & he's not available to ask. Wish I could be of more help!"
open-ended,B000OFSBL6,10-Oct-14,1412924400,How to decrease brightnes?It appears too bright can't see menu buttons.,,"That is something that would most likely be in your TV's menu. Try finding the menu button on your TV remote, then find the picture setting. There should be an option to decrease brightness in there."
yes/no,B000OFSBL6,13-Sep-14,1410591600,Will this work with a wii mini to 1080p HD TV?,?,"The Wii Mini only supports the regular composite cables (red, white, and yellow) unfortunately."
yes/no,B000OFSBL6,28-Aug-14,1409209200,does this work with Nintendo 64?,N,No it does not
open-ended,B000OFSBL6,4-Jun-14,1401865200,How to fix a zoomed in wii screen which only appears on amazon instant video using this cable?,,"Adjust your TVs zoom settings. If your TV lacks those, adjust the Wii's over scan settings. If THAT doesn't work, get a better TV."
yes/no,B000OLXX86,18-May-14,1400396400,Does this game come with the DLC?,?,"No, at least mycopy didn't come with it. You have to buy it off the XBOX Live Marketplace."
yes/no,B000OLXX86,18-Jun-14,1403074800,Does this come withthe bonus content disk?,N,"It depends on which version you order now. As of today, they release the trilogy all together now where some of the bonus content is included. Before purchasing, I'd do more research to make sure. This one I ordered did not though. Find the trilogy where it's all of them together and you may be able to find the package where each game has its bonus content included! :-)"
yes/no,B000OLXX86,17-May-14,1400310000,Should i buy 3 games separately or with trilogy. People say trilogy doesn't have dlc. Does these separate games come with the DLCS on amazon?,?,"For X360: Actually, the trilogy box set only has one DLC (for the first Mass Effect) that actually costs around $1-$5 by itself. With Mass Effect 2, there's the Cerberus Pass (which was once only available with a new purchase, but can now be downloaded from the Xbox Live Marketplace) and half of the DLC is free (go to Xbox Marketplace, find Mass Effect 2 DLC, and download Cerberus Network which is free, and you can download DLC from it which includes a new character, weapons armies and extra missions). Mass Effect 3 DOES need an Online Pass for online play, but some people were able to bypass this by having Xbox Live. Unfortunately, in both the trilogy and by itself, Mass Effect 3 contains NO DLC at all. The only free DLC is downloaded from Xbox Live Marketplace (it's add-ons for multiplayer, extra places to fight and more choices of bad guys to fight against). Every other DLC is not free. It doesn't actually matter which one you buy, as the only difference is the Bring Down the Sky DLC. Overall, the trilogy has only one DLC that isn't quite expensive while separately there are none. But if price matters, buy all three separately, as it can be cheaper sometimes by finding the right sellers. This may be kind of confusing but I hope I helped."
open-ended,B000OPOCFU,7 days ago,,Since it's used can it be installed and play by someone else?,,Yes it can.
open-ended,B000OPOCFU,7-Mar-15,1425715200,Where on the DVD is the product key.I tried entering and it still wont take it,,I got a case with mine that had a paper on the tiger woods golf inside and on the back of that paper is thecode number...I hope this helps let me know
yes/no,B000OPOCFU,31-May-14,1401519600,Is it compatible with Apple iMac?,?,"Tiger woods pga tour 08 only works with windows xp and windows vista. You should find out about a newer version in www.easport.com that applies to Apple. Sorry for delayed answer but I was traveling in the northern part of my country which is Argentina, South America"
yes/no,B000OPOCFU,18-Apr-14,1397804400,Will this work with Windows 8.1 64 bit?,?,"I don't know for sure - I was using windows 7., 64 bit and it seemed to work ok. There were some bugs and hang ups but it eventually worked ok"
yes/no,B000OPOCFU,16-Apr-14,1397631600,is this compatible with windows 7 64 bit,Y,"Yes it will play on Win7 x64, I do daily."
yes/no,B000OPOCFU,11-May-14,1399791600,Does it play on Windows 8.1?,?,"yes- it plays on win 8.1 - but depending on your video card- for some reason there are some ati cards that cannot run tw8- if you have Nvidia you should have no problems. also look for the mod that allows you to run the game 1920x1080 if you have wide screen monitor, search for 'Universal Widescreen Patcher' its a simple utility and it works. also goto course source . com for hundreds and hundreds of user made courses- better than the ones that came with game."
open-ended,B000OYMYZQ,15-Jan-15,1421308800,Will this arrive in an original Microsoft Xbox package or wrapped up in bubble wrap? Also what is the mAh rating on the battery?,,it will arrive in the official Microsoft Xbox package
open-ended,B000OYMYZQ,10-Jun-14,1402383600,How many charge-and-play kits can be plugged in at the same time to the Xbox 360 250gb console?,,"3. two front, 1 rear of original design (white or black). 4. two front, two rear of Slim. Using rear ports loses at least 15"" of distance from haveing to wrap around the rear of the xbox and up a side."
open-ended,B000OYMYZQ,7-Sep-14,1410073200,"Will this let me use a wireless controller through USB on a PC or laptop, without using the Microsoft gaming receiver?",,Nope you can't. I tried doing this but the receiver had to be connected.
open-ended,B000OYMYZQ,8-Jul-14,1404802800,How long is the cord?,,According to the pckaging it's a 9 foot cord.
yes/no,B000OYMYZQ,29-Apr-14,1398754800,Will this work with PC?,?,"It will charge through PC. In order to use the actual controller through the PC, you need the Microsoft adapter. I bought this item and the adapter; works great. Still cheaper than buying a wired usb controller, although those are good too."
open-ended,B000OYMYZQ,30-Jun-14,1404111600,Can the cable be used by itself to play on xbox? Or say the cable plus an empty battery compartment?,,Yes. It basically turns your controller into a wired controller without the battery pack. But you can also put in the rechargeable battery pack and charge it to play wirelessly.
yes/no,B000OYMYZQ,31-Aug-14,1409468400,Is the included battery just a standard rechargeable battery that I can use with the MS dual recharging station?,Y,"Yes, it's a standard microsoft battery, works great with any microsoft charge kits like the duel black MS charge station."
open-ended,B000OYMYZQ,9-Apr-15,1428562800,Is it a battery? What's is the mAH?,,"It's a battery and a charger, so it's a great value. Sorry, but I don't know the mAh. I'd look at other reviews for more detail"
open-ended,B000OYMYZQ,31-Mar-15,1427785200,"It's hard to tell, could you plug this into a USB port on a PC or only to the XBox?",,both. the idea is that this would normally be used for a PC.
yes/no,B000OYMYZQ,14-Mar-15,1426316400,Will this work with the wireless version for windows?,Y,It sure will. If you already own an Xbox 360 and the 360 controller (as it should have come with) then the cord will act as a charger and you'll also have an extra battery pack.
yes/no,B000P46NMA,28-May-14,1401260400,Does the Greatest Hits edition have trophies?,?,"I got my husband, who is the owner of the game to help me with the answer. Unfortunately NO, that particular game does not have trophies. A particular good way that you can determine even before you purchase your game is to look very closely on the back cover of your games hard case. In the very top portion of the paper label (top Rh corner) opposite the Playstation Network name it will say (ADD ON CONTENT) and underneath both languages stating that will say (TROPHIES) that DOES NOT appear on your game in question. It IS on his AC II greatest hits, AC III, and also his RELEVATIONS. We hope that this has helped you. Remember to look on the back top right of your cover sleeve, that's where they print that sort of info."
open-ended,B000P46NMA,6-Jan-15,1420531200,what is the order of the assassin's creed games.,,The order according to the timeline is: Assassin's Creed Assassin's Creed II Assassin's Creed Brotherhood Assassin's Creed Revelations Assassin's Creed IV Black Flag Assassin's Creed Freedom's Cry (DLC for black flag) Assassin's Creed Rogue Assassin's Creed III Assassin's Creed Liberation And there is a second DLC with Aveline on Black Flag and that comes last. So there you go.. hope this helps
yes/no,B000P46NMA,2-Dec-14,1417507200,"Does this edition of the game have subtitles? I bought the first one when it first came out, and it did not, so was difficult for hard of hearing.",N,No
open-ended,B000P46NMA,13-Oct-14,1413183600,"I bought AC2. My friend now says I ""Have"" to play 1 to get the entire storyline understood? Without spoiling it, should I really start from the first?",,It depends on you.I think it's not necessary you have to play AC1 if you only play AC2.But if you play the Ezio trilogy you'd better paly the AC1
open-ended,B000P46NMA,17-May-14,1400310000,this in Spanish,,no the game is in english
open-ended,B000P46NMA,17-Jul-14,1405580400,This game has subtitles in Spanish?,,Assassins Creed 1 does not have subtitles.
yes/no,B000P46NMA,25-Jun-14,1403679600,Is this the first game in the series?,Y,Why yes it is!
open-ended,B000P46NMA,16-Nov-14,1416124800,is this 1st person or 3rd? &gt;.&lt;,,it is in 3rd person.
yes/no,B000PD0HQE,3-Aug-14,1407049200,Does it come with all the games,?,"This came used from a third party seller, so he included everything listed.I think you have to read each listing if used and see what they are including."
yes/no,B000PD0HQE,2 days ago,,"Are you able to watch Netflix, Hulu, etc. on this console?",?,You can as long as you have an Xbox Live account.
open-ended,B000PD0HQE,3 days ago,,Why did this xbox come only with the xbox console? and not the cords!!!!!!,,Who sent this and you can send it back and get your money back and i have one for sale if you want another one
